2017.05.14 23:47:03 INFO  es[][o.s.p.ProcessEntryPoint] Starting es
2017.05.14 23:47:04 INFO  es[][o.s.s.EsSettings] Elasticsearch listening on /127.0.0.1:9001
2017.05.14 23:47:15 INFO  es[][o.elasticsearch.node] [sonarqube] version[2.4.4], pid[3168], build[fcbb46d/2017-01-03T11:33:16Z]
2017.05.14 23:47:15 INFO  es[][o.elasticsearch.node] [sonarqube] initializing ...
2017.05.14 23:47:15 INFO  es[][o.e.plugins] [sonarqube] modules [], plugins [], sites []
2017.05.14 23:47:16 INFO  es[][o.elasticsearch.env] [sonarqube] using [1] data paths, mounts [[(C:)]], net usable_space [117.4gb], net total_space [149.6gb], spins? [unknown], types [NTFS]
2017.05.14 23:47:16 INFO  es[][o.elasticsearch.env] [sonarqube] heap size [990.7mb], compressed ordinary object pointers [true]
2017.05.14 23:47:23 INFO  es[][o.elasticsearch.node] [sonarqube] initialized
2017.05.14 23:47:23 INFO  es[][o.elasticsearch.node] [sonarqube] starting ...
2017.05.14 23:47:23 INFO  es[][o.e.transport] [sonarqube] publish_address {127.0.0.1:9001}, bound_addresses {127.0.0.1:9001}
2017.05.14 23:47:23 INFO  es[][o.e.discovery] [sonarqube] sonarqube/ozDYX42JSCSV_AbWq5uFCw
2017.05.14 23:47:28 INFO  es[][o.e.cluster.service] [sonarqube] new_master {sonarqube}{ozDYX42JSCSV_AbWq5uFCw}{127.0.0.1}{127.0.0.1:9001}{rack_id=sonarqube, master=true}, reason: zen-disco-join(elected_as_master, [0] joins received)
2017.05.14 23:47:28 INFO  es[][o.elasticsearch.node] [sonarqube] started
2017.05.14 23:47:29 INFO  es[][o.e.gateway] [sonarqube] recovered [7] indices into cluster_state
2017.05.14 23:47:35 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[components][3]] ...]).
